,Title,Year,Age,IMDb,Netflix,Genres,Country,Language
21,John Mulaney: Kid Gorgeous at Radio City,2018,18,8.0,1.0,Comedy,United States,English
77,Dave Chappelle: Sticks & Stones,2019,18,8.5,1.0,Comedy,United States,English
132,Ricky Gervais: Humanity,2018,18,8.0,1.0,Comedy,United Kingdom,English
143,They'll Love Me When I'm Dead,2018,18,7.4,1.0,Documentary,United States,English
154,Ali Wong: Hard Knock Wife,2018,18,7.4,1.0,Comedy,United States,English
163,The American Meme,2018,,6.6,1.0,Documentary,United States,English
193,Mike Birbiglia: The New One,2019,,7.7,1.0,Comedy,United States,English
210,Miles Davis: Birth of the Cool,2019,,7.4,1.0,Biography,United States,
212,Screwb-18,2019,,7.1,1.0,Documentary,United States,English
219,Behind the Curve,2018,-18,6.5,1.0,Documentary,United States,English
227,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,-18,7.1,1.0,Comedy,United States,English
235,Miracle in Cell No. 7,2019,-18,8.2,1.0,Drama,Turkey,Turkish
237,Trixie Mattel: Moving Parts,2019,,7.3,1.0,Documentary,United States,English
245,John Leguizamo's Latin History for Morons,2018,-18,7.5,1.0,Comedy,United States,English
350,Between Two Ferns: The Movie,2019,18,6.1,1.0,Comedy,United States,English
369,Tig Notaro: Happy To Be Here,2018,-18,6.7,1.0,Comedy,United States,English
370,Spelling the Dream,2020,-18,6.9,1.0,Documentary,United States,English
371,Knock Down the House,2019,-18,7.1,1.0,Documentary,United States,English
448,Hillbilly Elegy,2020,18,6.7,1.0,Drama,United States,English
476,Iliza Shlesinger: Elder Millennial,2018,18,7.2,1.0,Comedy,United States,English
489,Bad Trip,2020,18,6.6,1.0,Comedy,United States,English
498,The Game Changers,2019,,7.9,1.0,Documentary,United States,English
499,Michelle Wolf: Joke Show,2019,,7.2,1.0,Comedy,United States,English
511,Grass is Greener,2019,,7.2,1.0,Documentary,,
574,6 B-18oons,2018,18,5.9,1.0,Drama,United States,English
590,Wildlife,2018,-18,6.8,1.0,Drama,United States,English
594,Feminists: What Were They Thinking?,2018,,7.0,1.0,Documentary,United States,English
611,Rocks,2020,18,7.5,1.0,Drama,United Kingdom,English
631,Kuchh Bheege Alfaaz,2018,,7.5,1.0,Romance,India,Hindi
642,C/o Kancharapalem,2018,-18,9.0,1.0,Drama,India,Telugu
660,18 Presents,2020,18,6.7,1.0,Drama,Italy,Italian
725,Girl,2018,18,7.1,1.0,Thriller,United States,English
736,Tread,2020,,7.1,1.0,Documentary,United States,English
738,Kevin Hart: Irresponsible,2019,18,6.5,1.0,Comedy,United States,English
